id,Date,Max Temperature,Min Temperature,lon,lat
135,1979-5-15,44.149,24.642,32.077942,15.2491215
136,1979-5-16,45.909,22.974,32.077942,15.2491215
137,1979-5-17,42.74,29.544,32.077942,15.2491215
138,1979-5-18,41.167,27.873,32.077942,15.2491215
139,1979-5-19,45.483,26.061,32.077942,15.2491215
140,1979-5-20,43.282,25.386,32.077942,15.2491215
141,1979-5-21,42.806,27.849,32.077942,15.2491215
142,1979-5-22,44.65,27.738,32.077942,15.2491215
143,1979-5-23,39.349,27.356,32.077942,15.2491215
144,1979-5-24,40.615,27.762,32.077942,15.2491215
145,1979-5-25,40.048,28.881,32.077942,15.2491215
146,1979-5-26,42.754,28.574,32.077942,15.2491215
147,1979-5-27,41.696,27.924,32.077942,15.2491215
148,1979-5-28,41.153,28.772,32.077942,15.2491215
149,1979-5-29,41.079,27.381,32.077942,15.2491215
150,1979-5-30,39.791,28.147,32.077942,15.2491215
151,1979-5-31,43.366,26.819,32.077942,15.2491215
152,1979-6-1,42.377,30.295,32.077942,15.2491215
153,1979-6-2,46.245,26.405,32.077942,15.2491215
154,1979-6-3,43.466,30.55,32.077942,15.2491215
155,1979-6-4,44.539,29.065,32.077942,15.2491215
156,1979-6-5,43.447,30.962,32.077942,15.2491215
157,1979-6-6,45.869,28.02,32.077942,15.2491215
158,1979-6-7,39.532,28.915,32.077942,15.2491215
159,1979-6-8,42.96,26.58,32.077942,15.2491215
160,1979-6-9,41.312,29.449,32.077942,15.2491215
161,1979-6-10,42.265,28.16,32.077942,15.2491215
162,1979-6-11,45.624,27.727,32.077942,15.2491215
163,1979-6-12,40.869,28.719,32.077942,15.2491215
164,1979-6-13,38.988,27.927,32.077942,15.2491215
165,1979-6-14,34.411,26.778,32.077942,15.2491215
166,1979-6-15,39.46,26.835,32.077942,15.2491215
167,1979-6-16,39.808,28.537,32.077942,15.2491215
168,1979-6-17,37.584,26.687,32.077942,15.2491215
169,1979-6-18,39.272,25.67,32.077942,15.2491215
170,1979-6-19,40.94,26.236,32.077942,15.2491215
171,1979-6-20,40.94,29.446,32.077942,15.2491215
172,1979-6-21,39.271,27.914,32.077942,15.2491215
173,1979-6-22,40.051,28.85,32.077942,15.2491215
174,1979-6-23,40.544,27.824,32.077942,15.2491215
175,1979-6-24,41.961,28.336,32.077942,15.2491215
176,1979-6-25,44.172,28.565,32.077942,15.2491215
177,1979-6-26,41.755,29.509,32.077942,15.2491215
178,1979-6-27,39.254,29.715,32.077942,15.2491215
179,1979-6-28,39.838,29.111,32.077942,15.2491215
180,1979-6-29,38.138,27.312,32.077942,15.2491215
181,1979-6-30,38.989,27.233,32.077942,15.2491215
182,1979-7-1,37.203,28.036,32.077942,15.2491215
183,1979-7-2,36.784,27.584,32.077942,15.2491215
184,1979-7-3,37.642,25.735,32.077942,15.2491215
185,1979-7-4,36.141,26.456,32.077942,15.2491215
186,1979-7-5,36.398,25.883,32.077942,15.2491215
187,1979-7-6,36,26.543,32.077942,15.2491215
188,1979-7-7,33.764,25.189,32.077942,15.2491215
189,1979-7-8,33.185,23.772,32.077942,15.2491215
190,1979-7-9,34.25,24.59,32.077942,15.2491215
191,1979-7-10,36.737,23.525,32.077942,15.2491215
192,1979-7-11,35.368,25.261,32.077942,15.2491215
193,1979-7-12,34.007,25.916,32.077942,15.2491215
194,1979-7-13,36.19,24.032,32.077942,15.2491215
195,1979-7-14,40.39,26.299,32.077942,15.2491215
196,1979-7-15,41.066,25.751,32.077942,15.2491215
197,1979-7-16,38.42,27.316,32.077942,15.2491215
198,1979-7-17,32.057,26.59,32.077942,15.2491215
199,1979-7-18,38.354,26.277,32.077942,15.2491215
200,1979-7-19,37.918,26.461,32.077942,15.2491215
201,1979-7-20,40.34,27.241,32.077942,15.2491215
202,1979-7-21,41.391,27.91,32.077942,15.2491215
203,1979-7-22,38.532,28.357,32.077942,15.2491215
204,1979-7-23,39.242,27.835,32.077942,15.2491215
205,1979-7-24,38.077,27.747,32.077942,15.2491215
206,1979-7-25,39.879,27.56,32.077942,15.2491215
207,1979-7-26,35.37,28.177,32.077942,15.2491215
