id,Date,Precipitation,lon,lat
170,6/19/1979,0,32.077942,15.2491215
171,6/20/1979,0.09269712,32.077942,15.2491215
172,6/21/1979,0,32.077942,15.2491215
173,6/22/1979,0,32.077942,15.2491215
174,6/23/1979,0.53987544,32.077942,15.2491215
175,6/24/1979,0.37422216,32.077942,15.2491215
176,6/25/1979,0,32.077942,15.2491215
177,6/26/1979,1.13983272,32.077942,15.2491215
178,6/27/1979,0,32.077942,15.2491215
179,6/28/1979,0.130462452,32.077942,15.2491215
180,6/29/1979,0,32.077942,15.2491215
181,6/30/1979,0,32.077942,15.2491215
182,7/1/1979,0.57163248,32.077942,15.2491215
183,7/2/1979,0.491809716,32.077942,15.2491215
184,7/3/1979,1.74408192,32.077942,15.2491215
185,7/4/1979,0.9492876,32.077942,15.2491215
186,7/5/1979,3.15170298,32.077942,15.2491215
187,7/6/1979,1.036832832,32.077942,15.2491215
188,7/7/1979,8.198564321,32.077942,15.2491215
189,7/8/1979,13.89941964,32.077942,15.2491215
190,7/9/1979,0,32.077942,15.2491215
191,7/10/1979,2.059934076,32.077942,15.2491215
192,7/11/1979,0.71582796,32.077942,15.2491215
193,7/12/1979,0.28839096,32.077942,15.2491215
194,7/13/1979,2.41012404,32.077942,15.2491215
195,7/14/1979,1.8608076,32.077942,15.2491215
196,7/15/1979,0,32.077942,15.2491215
197,7/16/1979,0.02059938,32.077942,15.2491215
198,7/17/1979,0.70724592,32.077942,15.2491215
199,7/18/1979,2.5749216,32.077942,15.2491215
200,7/19/1979,0.47206908,32.077942,15.2491215
201,7/20/1979,0.494384796,32.077942,15.2491215
202,7/21/1979,0,32.077942,15.2491215
203,7/22/1979,0.017166146,32.077942,15.2491215
204,7/23/1979,0,32.077942,15.2491215
205,7/24/1979,0,32.077942,15.2491215
206,7/25/1979,0,32.077942,15.2491215
207,7/26/1979,0,32.077942,15.2491215
208,7/27/1979,0.070381166,32.077942,15.2491215
209,7/28/1979,1.788712992,32.077942,15.2491215
210,7/29/1979,3.610040573,32.077942,15.2491215
211,7/30/1979,0.058364892,32.077942,15.2491215
212,7/31/1979,0.73299384,32.077942,15.2491215
213,8/1/1979,0,32.077942,15.2491215
214,8/2/1979,0,32.077942,15.2491215
215,8/3/1979,0.0926973,32.077942,15.2491215
216,8/4/1979,1.522636373,32.077942,15.2491215
217,8/5/1979,1.646232516,32.077942,15.2491215
218,8/6/1979,1.627350386,32.077942,15.2491215
219,8/7/1979,0.577640261,32.077942,15.2491215
220,8/8/1979,0.339889608,32.077942,15.2491215
221,8/9/1979,1.16987274,32.077942,15.2491215
222,8/10/1979,2.533723214,32.077942,15.2491215
223,8/11/1979,16.50352743,32.077942,15.2491215
224,8/12/1979,1.134683496,32.077942,15.2491215
225,8/13/1979,7.967664223,32.077942,15.2491215
226,8/14/1979,0.65059637,32.077942,15.2491215
227,8/15/1979,3.48215202,32.077942,15.2491215
228,8/16/1979,6.63900408,32.077942,15.2491215
229,8/17/1979,6.71196456,32.077942,15.2491215
230,8/18/1979,5.608177718,32.077942,15.2491215
231,8/19/1979,2.655599472,32.077942,15.2491215
232,8/20/1979,16.59450456,32.077942,15.2491215
233,8/21/1979,0.085830696,32.077942,15.2491215
