id,Date,Max Temperature,Min Temperature,lon,lat,,
187,300067200,36,26.543,32.077942,15.2491215,2.59236E+13,
188,300153600,33.764,25.189,32.077942,15.2491215,2.59311E+13,
189,300240000,33.185,23.772,32.077942,15.2491215,2.59385E+13,
190,300326400,34.25,24.59,32.077942,15.2491215,2.5946E+13,
191,300412800,36.737,23.525,32.077942,15.2491215,2.59535E+13,
192,300499200,35.368,25.261,32.077942,15.2491215,2.59609E+13,
193,300585600,34.007,25.916,32.077942,15.2491215,2.59684E+13,
194,300672000,36.19,24.032,32.077942,15.2491215,2.59759E+13,
195,300758400,40.39,26.299,32.077942,15.2491215,2.59833E+13,
196,300844800,41.066,25.751,32.077942,15.2491215,2.59908E+13,
197,300931200,38.42,27.316,32.077942,15.2491215,2.59982E+13,
198,301017600,32.057,26.59,32.077942,15.2491215,2.60057E+13,
199,301104000,38.354,26.277,32.077942,15.2491215,2.60132E+13,
200,301190400,37.918,26.461,32.077942,15.2491215,2.60206E+13,
201,301276800,40.34,27.241,32.077942,15.2491215,2.60281E+13,
202,301363200,41.391,27.91,32.077942,15.2491215,2.60356E+13,
203,301449600,38.532,28.357,32.077942,15.2491215,2.6043E+13,
204,301536000,39.242,27.835,32.077942,15.2491215,2.60505E+13,
205,301622400,38.077,27.747,32.077942,15.2491215,2.6058E+13,
206,301708800,39.879,27.56,32.077942,15.2491215,2.60654E+13,
207,301795200,35.37,28.177,32.077942,15.2491215,2.60729E+13,
208,301881600,38.107,26.355,32.077942,15.2491215,2.60804E+13,
209,301968000,37.903,25.507,32.077942,15.2491215,2.60878E+13,
210,302054400,31.81,24.083,32.077942,15.2491215,2.60953E+13,
211,302140800,36.118,23.004,32.077942,15.2491215,2.61028E+13,
212,302227200,35.469,25.704,32.077942,15.2491215,2.61102E+13,
213,302313600,38.548,26.233,32.077942,15.2491215,2.61177E+13,
214,302400000,37.537,25.71,32.077942,15.2491215,2.61252E+13,
215,302486400,36.071,26.971,32.077942,15.2491215,2.61326E+13,
216,302572800,33.795,24.597,32.077942,15.2491215,2.61401E+13,
217,302659200,39.087,24.026,32.077942,15.2491215,2.61475E+13,
218,302745600,37.636,26.965,32.077942,15.2491215,2.6155E+13,
219,302832000,37.014,26.315,32.077942,15.2491215,2.61625E+13,
220,302918400,37.031,26.441,32.077942,15.2491215,2.61699E+13,
